timestamp,open,high,low,close,volume,EMA_20,EMA_50,RSI,MACD,MACD_S,MACD_H,BB_U,BB_L,ATR,VOL_R
2025-09-30 09:00:00,113451.89,113451.89,112731.41,112781.97,995.05591,112781.97,112781.97,,0.0,0.0,0.0,,,720.4799999999959,
2025-09-30 10:00:00,112781.97,113085.23,112656.27,112923.49,721.99583,112795.4480952381,112787.51980392158,,11.28934472934634,2.257868945869268,9.031475783477072,,,681.610666666662,
2025-09-30 11:00:00,112923.5,113135.44,112810.62,113055.01,498.77683,112820.16827664399,112798.0096155325,,30.497243366524344,7.905743830000284,22.59149953652406,,,634.0385777777748,
2025-09-30 12:00:00,113055.0,113255.99,112990.75,113002.06,347.5946,112837.49129791599,112806.01159139398,,40.97468824333919,14.519532712668065,26.45515553067112,,,584.8654340740721,
2025-09-30 13:00:00,113002.06,113677.23,112866.11,113404.53,823.64679,112891.49498382874,112829.48290153539,,80.82243350871431,27.780112871877314,53.042320636837,,,615.0327095308619,
2025-09-30 14:00:00,113404.53,113630.13,112900.0,113595.05,910.17644,112958.5002234641,112859.50514069086,,126.31930021510925,47.4879503405237,78.83134987458556,,,630.3790149267476,
2025-09-30 15:00:00,113595.04,113598.27,112919.95,113106.16,758.86878,112972.56305932466,112869.17788027161,,121.52568523904483,62.29549732022793,59.2301879188169,,,636.7711462698488,
2025-09-30 16:00:00,113106.15,113279.92,112800.0,112841.24,386.78887,112960.05610129374,112868.08227712371,,95.25187652287423,68.88677316075719,26.36510336211704,,,615.8576601005354,
2025-09-30 17:00:00,112841.23,113503.99,112813.82,113246.11,745.57241,112987.29932974196,112882.9068937071,,105.87881412105344,76.28518135281644,29.593632768237,,,625.7659720871305,
2025-09-30 18:00:00,113246.12,113714.56,113177.37,113714.56,431.8583,113056.56225071891,112915.5207410127,,150.36739697864687,91.10162447798253,59.26577250066434,,,613.9558424755135,
2025-09-30 19:00:00,113714.55,114563.46,113702.01,114359.99,971.66803,113180.69822684092,112972.16659430633,,234.99682916646998,119.88066541568003,115.11616375078995,,,646.95506347878,
2025-09-30 20:00:00,114359.99,114723.57,114110.09,114626.36,710.64838,113318.38030047512,113037.03692394137,,319.87280220061075,159.87909277266618,159.99370942794457,,,642.4917216816107,
2025-09-30 21:00:00,114626.36,114754.87,114136.5,114161.0,649.46746,113398.62979566796,113081.11390731622,,345.6030625299172,197.0238867241164,148.57917580580082,,,639.275492124062,
2025-09-30 22:00:00,114161.0,114356.98,113883.01,113940.39,348.9346,113450.22600560435,113114.8110089901,61.28181636035281,344.225083442856,226.46412606786433,117.76095737499165,,,617.2347598408539,
2025-09-30 23:00:00,113940.4,114048.94,113765.42,114048.93,268.4376,113507.24543364202,113151.4431262846,62.76170171358023,347.8811387627502,250.7475286068415,97.13361015590868,,,572.7394585287407,
2025-10-01 00:00:00,114048.94,114308.0,113966.67,114239.53,434.59016,113576.98682091422,113194.11319976364,65.27192077218447,361.98567055170133,272.9951569958135,88.99051355588784,,,541.8848640582422,
2025-10-01 01:00:00,114239.53,114550.0,114142.99,114549.99,597.2536,113669.65379035096,113247.2848389886,68.94417173121111,393.6770767048438,297.13154093761955,96.54553576722424,,,523.9015488504759,
2025-10-01 02:00:00,114549.99,114551.76,114272.15,114272.15,508.42422,113727.03438174611,113287.4756296165,62.567764734061875,391.85630287378444,316.07649332485255,75.7798095489319,,,491.32934233707925,
2025-10-01 03:00:00,114272.16,114530.48,114096.58,114176.92,502.30318,113769.88063110363,113322.35580100409,60.502317158091856,378.36747662011476,328.534689983905,49.83278663620973,,,483.6720966921346,
2025-10-01 04:00:00,114176.93,114700.0,114151.0,114289.01,597.89328,113819.32152337948,113360.26380880785,62.088706934015555,372.42908024905773,337.3135680369356,35.115512212122155,114959.72845362718,112473.71654637283,492.38248379985,0.9793537597455916
2025-10-01 05:00:00,114289.02,114740.0,114265.63,114569.84,559.75519,113890.79947353381,113407.69816924677,65.79538066105088,385.934677619327,347.0377899534139,38.896887665913084,115022.9519599932,112589.2800400068,489.9808192932027,0.9507798086526453
2025-10-01 06:00:00,114569.84,114624.3,114224.88,114256.81,392.52281,113925.65761891154,113440.99667241356,58.88435038996844,367.1468159849901,351.05959515972916,16.087220825260943,115030.68260876251,112714.8813912375,477.90604338744214,0.6859180153169663
2025-10-01 07:00:00,114256.82,114584.35,114236.59,114539.02,446.26236,113984.07308377711,113484.05641075029,62.689323848575505,370.7554507047025,354.99876626872384,15.756684435978684,115074.01805154077,112819.94694845923,460.55323760245113,0.7834203486325704
2025-10-01 08:00:00,114539.02,116591.8,114484.43,116111.28,2944.06599,114186.66421865548,113587.0847867993,76.00970622366071,494.7800454200915,382.9550220989974,111.82502332109408,115504.80512283147,112700.08187716854,680.1288059221256,4.209074062027029
2025-10-01 09:00:00,116111.27,116529.93,115950.0,116412.1,1081.73774,114398.61048354543,113697.8696971209,77.65354504778703,610.3088299359079,428.4257836663795,181.88304626952834,115953.38488544458,112552.25911455542,666.7689651325079,1.5185236506404536
2025-10-01 10:00:00,116412.1,116551.0,116203.5,116281.64,549.64831,114577.94662796968,113799.194022724,75.24552716948216,683.460682990335,479.4327635311706,204.02791945916442,116282.25001357072,112492.05298642929,624.1997697815069,0.7916182530511079
2025-10-01 11:00:00,116281.64,116795.85,116269.0,116789.58,642.47832,114788.57837768685,113916.46406104855,78.09382092303332,773.5040928422095,538.2470293933784,235.2570634488311,116649.35226607906,112493.29273392096,611.2198004773068,0.9331355390082152
2025-10-01 12:00:00,116789.57,116887.0,116363.38,116402.65,645.19981,114942.29948457381,114013.96154885057,71.35817142085774,804.3698516396253,591.4715938426278,212.89825779699743,116813.51659444415,112685.26940555584,599.539827080332,0.9198269400417753
2025-10-01 13:00:00,116402.65,116843.73,116399.5,116806.96,1233.59755,115119.88620032869,114123.49089987604,73.89213798272013,851.6384677727619,643.5049686286548,208.1334991441072,117058.78639643289,112796.0846035671,578.8318501362871,1.6995509522175047
2025-10-01 14:00:00,116806.96,117441.26,116704.74,117292.74,1631.53193,115326.82465744024,114247.77517831228,76.57384307944861,917.7186830591527,698.3477115147543,219.37097154439834,117403.30124414717,112809.38775585279,599.8569367847808,2.076213127440548
2025-10-01 15:00:00,117292.73,117649.99,117091.84,117423.73,1008.01671,115526.52992816022,114372.32242622161,77.25235782726394,969.4819436617836,752.5745579441602,216.90738571762336,117747.6063942804,112771.45660571959,594.2960118801445,1.2797962024353156
2025-10-01 16:00:00,117423.73,118199.0,117319.04,117535.79,1840.40868,115717.8880302402,114496.37997813449,77.84358567368517,1007.9282367987471,803.6452937150776,204.28294308366947,118071.05317096632,112738.95282903367,632.3845436294595,2.18025228980053
2025-10-01 17:00:00,117535.79,117681.27,116724.56,116768.07,962.36022,115817.9053606935,114585.4658613449,65.31823597119622,965.3209936804342,835.980433708149,129.34055997228518,118200.24433906391,112870.46866093614,675.6279378121991,1.119321416419814
2025-10-01 18:00:00,116768.08,117339.09,116768.07,117234.01,528.26692,115952.77246919888,114689.33033737059,68.61852657160085,958.1074443007674,860.4058358266727,97.70160847409466,118356.97828601988,113043.09671398014,661.6802127705712,0.60808561935958
2025-10-01 19:00:00,117234.01,117623.59,117214.8,117439.53,483.28734,116094.36842451328,114797.18130453253,69.97569200348273,957.9319575298141,879.911060167301,78.0208973625131,118515.58567553433,113223.54932446568,627.9615177344942,0.549514737463975
2025-10-01 20:00:00,117439.53,117542.24,117163.25,117536.12,412.83403,116231.67809836916,114904.5906651391,70.61881135578436,954.5830495750124,894.8454580488433,59.737591526169126,118663.53364366002,113405.26035633998,594.7653153698957,0.469988157382865
2025-10-01 21:00:00,117536.13,117579.43,117339.54,117554.96,278.91184,116357.70494614352,115008.52671748659,70.75041614052446,942.5837279628468,904.393112031644,38.19061593120273,118800.01960195921,113569.27139804076,547.4486066539096,0.32338529932070637
2025-10-01 22:00:00,117554.95,118080.0,117554.95,117745.39,593.82096,116489.86542746318,115115.85468934986,72.1102507177851,937.6318523070076,911.0408600867167,26.5909922202909,118899.17256589163,113817.44243410836,544.462125766722,0.6851159815275739
2025-10-01 23:00:00,117745.39,118649.1,117686.28,118594.99,1161.22401,116690.3534819905,115252.29136819889,77.2025745370279,990.84127334808,927.0009427389895,63.84033060909053,119089.58139200365,114068.84060799638,600.2431756644934,1.2906917506806779
2025-10-02 00:00:00,118594.99,119456.92,118397.32,118428.46,2212.72285,116855.88743608665,115376.84700081854,74.33746131065635,1007.9534832993668,943.191450851065,64.76203244830174,119181.4532497779,114390.9137502221,661.4907522425598,2.2568840253114844
2025-10-02 01:00:00,118428.46,118894.12,118368.05,118617.37,734.6179,117023.64768026887,115503.92633411978,75.45047437026258,1024.9435796053876,959.5418766019296,65.40170300345801,119276.93782628473,114700.1821737153,643.4346519435509,0.7426565526601119
2025-10-02 02:00:00,118617.37,118784.87,118483.39,118753.73,644.14993,117188.41742500517,115631.3696151347,76.25115596649519,1037.4523607043375,975.1239734224113,62.32838728192621,119240.40532242504,115186.40667757497,597.8406983510769,0.6430200344860022
2025-10-02 03:00:00,118753.73,119058.82,118688.61,118733.99,595.85707,117335.61481309992,115753.04100277647,75.86540646828887,1033.8551679960656,986.8702123371422,46.984955658923354,119127.4151831298,115718.89381687019,567.4899385709341,0.590403568035196
2025-10-02 04:00:00,118733.99,118930.29,118432.64,118662.04,410.46135,117461.94102137611,115867.11939482446,74.38823294925794,1013.5154282047151,992.1992555106568,21.31617269405831,119223.06239177035,115878.32260822966,558.1779467614755,0.46508214409870413
2025-10-02 05:00:00,118662.04,118677.32,118279.31,118377.34,484.81157,117549.12187648316,115965.55941855683,68.68900167238851,963.3185901550314,986.4231224395318,-23.10453228450035,119269.78890539252,116028.12009460747,536.8222205266134,0.5685536260603563
2025-10-02 06:00:00,118377.34,118672.34,118295.87,118649.06,380.89847,117653.87788824667,116070.79473547617,70.97464471183736,934.6882630203327,976.076150555692,-41.38788753535937,119311.69885290295,116222.95214709704,515.4419244563984,0.45115564195084584
2025-10-02 07:00:00,118649.07,118678.98,118424.0,118489.76,496.19299,117733.48570841366,116165.65611839868,67.84766371985411,888.8976846324949,958.6404573710527,-69.74277273855773,119356.75379659845,116347.91520340154,480.7136678622114,0.5928524853516756
2025-10-02 08:00:00,118489.76,118680.0,118354.61,118668.89,309.01675,117822.57183142188,116263.82215297128,69.47620145508205,857.181559859906,938.3486778688234,-81.16711800891744,119346.6418155951,116584.65118440488,460.00384548058315,0.37678102287487536
2025-10-02 09:00:00,118668.89,118850.0,118567.0,118849.99,343.02582,117920.42118081027,116365.24049991358,71.07151408061523,837.0110169769905,918.0811456904569,-81.07012871346637,119388.86325873464,116746.73274126535,436.40333274983874,0.4422596588031199
2025-10-02 10:00:00,118849.99,118926.49,118567.85,118619.56,393.64914,117987.00583025691,116453.64518619148,66.32178658857683,793.2874176587211,893.1224000841098,-99.83498242538872,119424.21999055256,116844.05800944746,426.0348883831935,0.5515404213302352
2025-10-02 11:00:00,118619.55,118900.01,118537.1,118765.73,414.31674,118061.1700368991,116544.31517888985,67.79219560238187,761.6510088748037,866.8281218422486,-105.17711296744494,119475.24185998019,116927.23614001984,417.61823659876626,0.6056892765967498
2025-10-02 12:00:00,118765.72,119402.43,118742.91,119402.42,924.16679,118188.90812862299,116656.39772089418,73.26723718578226,778.9749506096268,849.2574875957243,-70.28253698609751,119635.06873099621,116954.0722690038,449.8718050522627,1.4480161058707466
2025-10-02 13:00:00,119402.43,119761.36,118933.25,119621.2,1531.32643,118325.31687827794,116772.66447693754,74.84935802019622,801.123167631391,839.6306236028577,-38.5074559714667,119698.6521066588,117175.8018933412,500.30356437862775,2.296950786335072
2025-10-02 14:00:00,119621.19,119788.0,118642.2,118814.09,1237.9215,118371.86669939432,116852.72037980273,60.600453607582764,744.9613072623179,820.6967603347497,-75.73545307243182,119652.0247271009,117380.4372728991,586.3697557948111,1.7630174201410773
2025-10-02 15:00:00,118814.09,119910.79,118516.39,119910.78,1405.75154,118518.42987088057,116972.64428647714,69.18459885560033,779.9555043262953,812.5485091330588,-32.593004806763474,119819.245482187,117460.34151781297,694.1071216888355,1.878633991801967
2025-10-02 16:00:00,119910.78,120300.0,119607.82,119731.4,1570.77716,118633.95083555861,117080.83078504667,66.62757566709435,784.1747128028946,806.873749867026,-22.699037064131403,119904.89340368874,117594.22159631131,693.8501721303231,1.9484173914903673
2025-10-02 17:00:00,119731.4,119956.84,119359.63,119917.52,625.48952,118756.19551788637,117192.07349935856,67.95112969041234,793.3910759933642,804.1772150922937,-10.786139098929539,119991.42865438628,117743.9423456137,680.964815846279,0.759540961670584
2025-10-02 18:00:00,119917.52,120663.96,119907.01,120506.61,1340.0858,118922.90165904006,117322.05532291313,71.76770153523506,838.5633140942373,811.0544348926825,27.508879201554805,120223.47546896792,117788.01753103209,691.0961737334434,1.5567492281238462
2025-10-02 19:00:00,120506.6,121022.07,120439.97,120836.49,1332.75893,119105.14816770291,117459.87629064203,73.65937353239926,890.7136053231952,826.9862689787851,63.727336344410105,120566.98009412149,117668.66290587849,676.563350568985,1.5329641869500417
2025-10-02 20:00:00,120836.49,120914.0,120306.02,120652.01,833.01817,119252.46834220739,117585.0580047345,70.8022776547015,906.7051599290862,842.9300471688454,63.77511276024086,120792.16679195505,117665.83120804494,667.4189038264532,1.0407332503710451
2025-10-02 21:00:00,120652.01,120774.97,120141.72,120150.1,546.60875,119337.95707152097,117685.64788690177,63.576947327047776,868.8629288091615,848.1166234969087,20.746305312252844,120892.65311330667,117718.61788669333,662.8630499829261,0.6910226586179162
2025-10-02 22:00:00,120150.1,120412.24,120072.46,120257.49,379.08266,119425.53163613802,117786.50444035661,64.41373554583194,837.8796089424577,846.0692205860186,-8.189611643560852,120999.90907036964,117761.73792963033,619.7853099852025,0.48740259469794667
